hit_id,decision_id,att_attachmentLink,att_metadataReference,matchedKeywords,matchedLanguage,matchContext,loadedAt,att_attachmentCategory,att_attachmentDocumentDate,att_attachmentIdSequence,att_attachmentLanguage,att_attachmentLocationType,att_attachmentName,att_attachmentPublicationBusinessDate,att_attachmentPublicationDescription,att_attachmentSentDate,att_language,att_metadataType,caseAtt_attachmentCategory,caseAtt_attachmentDocumentDate,caseAtt_attachmentIdSequence,caseAtt_attachmentLanguage,caseAtt_attachmentLink,caseAtt_attachmentLocationType,caseAtt_attachmentName,caseAtt_attachmentPublicationBusinessDate,caseAtt_attachmentPublicationDescription,caseAtt_attachmentSentDate,caseAtt_language,caseAtt_metadataReference,caseAtt_metadataType,case_caseAidInstruments,case_caseCartel,case_caseCompanies,case_caseCourtCases,case_caseDeadlineDate,case_caseDg,case_caseEvents,case_caseEventsDates,case_caseExternalLinks,case_caseInitiationDate,case_caseInstrument,case_caseInvestigationPhase,case_caseLastDecisionDate,case_caseLegalBasis,case_caseLinks,case_caseNotificationDate,case_caseNumber,case_caseNumberPart,case_caseOfficialJournalPublications,case_caseOfficialJournalPublicationsPublishedDates,case_casePressReleases,case_casePressReleasesPublicationDates,case_casePrimaryLaws,case_caseRegions,case_caseRegulation,case_caseRenotificationDate,case_caseSecondaryLaws,case_caseSectors,case_caseSimplified,case_caseSimplifiedProcedure,case_caseTimelineEvents,case_caseTimelineEventsDates,case_caseTitle,case_caseType,case_language,case_metadataReference,case_metadataType,dec_decisionAdoptionDate,dec_decisionCelexReference,dec_decisionExternalLinks,dec_decisionNumber,dec_decisionOfficialJournalPublications,dec_decisionOfficialJournalPublicationsPublishedDates,dec_decisionOjPriorPublication,dec_decisionPressReleases,dec_decisionPressReleasesPublicationDates,dec_decisionTypes,dec_language,dec_metadataReference,dec_metadataType
1,20,https://ec.europa.eu/competition/mergers/cases/decisions/m1185_fr.pdf,M.1185-DEC39394-ATT4,arbitrag*,FR,"de la clause compromissoire prévue par le Nouveau Code de Procédure Civile français, une instance d’arbitrage indépendante et compétente (“l’Arbitre”). L’Arbitre jugera en dernier ressort de tout liti",2026-06-05T15:27:26.357935,,,4,FR,DDOC,Art. 6(1)(b) with conditions & obligations -  - mtf-dec-m-01185-020-1-19980604-0440-pub-fr,,,2004-12-07,fr,METADATA_DECISION_ATTACHMENT,,,,,,,,,,,,,,,Antitrust,ALCATEL / THOMSON CSF - SCS,,,,,,,1998-05-18,Merger,,1998-06-04,,,1998-05-18,M.1185,1185,,,,,,,Council Regulation 4064/89,,,"{""code"":""NaceSectorsC_30_3"",""label"":""C.30.3 - Manufacture of air and spacecraft and related machinery""}",Normal procedure,false,,,ALCATEL / THOMSON CSF - SCS,,en,M.1185,METADATA_CASE,1998-06-04,,,39394,"{""items"":[{""reference"":""C272"",""publishedDate"":""1998-09-01"",""priorPublication"":""false""}]}",1998-09-01,false,,,"{""code"":""DecisionType440"",""label"":""Art. 6(1)(b) with conditions & obligations""}",en,M.1185-DEC39394,METADATA_DECISION
2,22,https://ec.europa.eu/competition/mergers/cases/decisions/m1186_fr.pdf,M.1186-DEC39396-ATT3,arbitrag*,FR,"assemblées générales et des conseils d’administration de GEAL. Il prévoit également un mécanisme d’arbitrage indépendant en cas de désaccord. 9. Par ailleurs, le projet de statuts de GEAL prévoit un",2026-06-05T15:27:33.154031,,,3,FR,DDOC,Art. 6(1)(b) -  - mtf-dec-m-01186-020-1-19980618-0310-pub-fr,,,2004-12-07,fr,METADATA_DECISION_ATTACHMENT,,,,,,,,,,,,,,,Antitrust,GEAL / CREA / CGE,,1998-06-24,,,,,1998-05-18,Merger,,1998-06-18,,,1998-05-18,M.1186,1186,,,,,,,Council Regulation 4064/89,,,"{""code"":""NaceSectorsE_36_0_0"",""label"":""E.36.00 - Water collection, treatment and supply""}",Normal procedure,false,,,GEAL / CREA / CGE,,en,M.1186,METADATA_CASE,1998-06-18,,,39396,"{""items"":[{""reference"":""C218"",""publishedDate"":""1998-07-14"",""priorPublication"":""false""}]}",1998-07-14,false,,,"{""code"":""DecisionType310"",""label"":""Art. 6(1)(b)""}",en,M.1186-DEC39396,METADATA_DECISION
3,69,https://ec.europa.eu/competition/mergers/cases/decisions/m2050_en.pdf,M.2050-DEC40427-ATT3,arbitrat*,EN,"increase substantially after the first two years. Finally, the undertaking did not provide for any arbitration mechanism in case of a dispute. 78. For these reasons, the Commission reached the conclu",2026-06-05T15:28:01.598459,,,3,EN,DDOC,Art. 6(1)(b) with conditions & obligations -  - mtf-dec-m-02050-020-1-20001013-0440-pub-en,,,2004-12-07,en,METADATA_DECISION_ATTACHMENT,,,,,,,,,,,,,,,Antitrust,VIVENDI / CANAL+ / SEAGRAM,,,,,,,2000-08-31,Merger,,2000-10-13,,,2000-08-31,M.2050,2050,,,,,,,Council Regulation 4064/89,,,"{""code"":""NaceSectorsR_93"",""label"":""R.93 - Sports activities and amusement and recreation activities""}",Normal procedure,false,,,VIVENDI / CANAL+ / SEAGRAM,,en,M.2050,METADATA_CASE,2000-10-13,,,40427,"{""items"":[{""reference"":""C311"",""publishedDate"":""2000-10-30"",""priorPublication"":""false""}]}",2000-10-30,false,"{""items"":[{""reference"":""IP/00/1162""}]}",,"{""code"":""DecisionType440"",""label"":""Art. 6(1)(b) with conditions & obligations""}",en,M.2050-DEC40427,METADATA_DECISION
4,150,https://ec.europa.eu/competition/mergers/cases/decisions/m2097_20010131_610_el.pdf,M.2097-DEC40482-ATT17,διαιτη*,EL,"προµηθευτές παραδίδουν τα προϊόντα στις κτιριακές εγκαταστάσεις των πελατών. Εάν δεν είναι δυνατή η διαιτησία τιµών µεταξύ των πελατών, οι προµηθευτές µπορούν να χρεώνουν διαφορετικές τιµές σε πελάτες",2026-06-05T15:29:38.532280,,,17,EL,DDOC,Art. 8(3) -  - mtf-dec-m-02097-020-2-20010131-0610-pub-el,,,2004-12-07,el,METADATA_DECISION_ATTACHMENT,,,,,,,,,,,,,,,Antitrust,SCA / METSÄ TISSUE,,2001-02-09,,,,,2000-08-11,Merger,,2001-01-31,,,2000-08-11,M.2097,2097,{},,{},,,,Council Regulation 4064/89,,,"{""code"":""NaceSectorsC_17_2_2"",""label"":""C.17.22 - Manufacture of household and sanitary goods and of toilet requisites""}",Normal procedure,,,,SCA / METSÄ TISSUE,,en,M.2097,METADATA_CASE,2001-01-31,32002DO156,,40482,"{""items"":[{""reference"":""L57"",""publishedDate"":""2002-02-27"",""priorPublication"":""false""}]}",2002-02-27,false,"{""items"":[{""reference"":""IP/01/147""}]}",,"{""code"":""DecisionType610"",""label"":""Art. 8(3)""}",en,M.2097-DEC40482,METADATA_DECISION
5,152,https://ec.europa.eu/competition/mergers/cases/decisions/m2097_20010131_610_fr.pdf,M.2097-DEC40482-ATT20,arbitrag*,FR,"as, par exemple, lorsque des fournisseurs livrent les produits directement chez le client. Si aucun arbitrage entre les clients n’est possible, les fournisseurs peuvent appliquer des prix différenciés",2026-06-05T15:29:48.165603,,,20,FR,DDOC,Art. 8(3) -  - mtf-dec-m-02097-020-2-20010131-0610-pub-fr,,,2004-12-07,fr,METADATA_DECISION_ATTACHMENT,,,,,,,,,,,,,,,Antitrust,SCA / METSÄ TISSUE,,2001-02-09,,,,,2000-08-11,Merger,,2001-01-31,,,2000-08-11,M.2097,2097,{},,{},,,,Council Regulation 4064/89,,,"{""code"":""NaceSectorsC_17_2_2"",""label"":""C.17.22 - Manufacture of household and sanitary goods and of toilet requisites""}",Normal procedure,,,,SCA / METSÄ TISSUE,,en,M.2097,METADATA_CASE,2001-01-31,32002DO156,,40482,"{""items"":[{""reference"":""L57"",""publishedDate"":""2002-02-27"",""priorPublication"":""false""}]}",2002-02-27,false,"{""items"":[{""reference"":""IP/01/147""}]}",,"{""code"":""DecisionType610"",""label"":""Art. 8(3)""}",en,M.2097-DEC40482,METADATA_DECISION
6,155,https://ec.europa.eu/competition/mergers/cases/decisions/m2097_20010131_610_pt.pdf,M.2097-DEC40482-ATT23,arbitrag*,PT,"uando os fornecedores entregam os produtos nas instalações dos clientes. Caso não seja possível uma arbitragem entre os clientes, os fornecedores poderão cobrar preços diferentes a clientes que se enc",2026-06-05T15:29:59.460545,,,23,PT,DDOC,Art. 8(3) -  - mtf-dec-m-02097-020-2-20010131-0610-pub-pt,,,2004-12-07,pt,METADATA_DECISION_ATTACHMENT,,,,,,,,,,,,,,,Antitrust,SCA / METSÄ TISSUE,,2001-02-09,,,,,2000-08-11,Merger,,2001-01-31,,,2000-08-11,M.2097,2097,{},,{},,,,Council Regulation 4064/89,,,"{""code"":""NaceSectorsC_17_2_2"",""label"":""C.17.22 - Manufacture of household and sanitary goods and of toilet requisites""}",Normal procedure,,,,SCA / METSÄ TISSUE,,en,M.2097,METADATA_CASE,2001-01-31,32002DO156,,40482,"{""items"":[{""reference"":""L57"",""publishedDate"":""2002-02-27"",""priorPublication"":""false""}]}",2002-02-27,false,"{""items"":[{""reference"":""IP/01/147""}]}",,"{""code"":""DecisionType610"",""label"":""Art. 8(3)""}",en,M.2097-DEC40482,METADATA_DECISION
7,192,https://ec.europa.eu/competition/mergers/cases/decisions/m2903_20030430_600_de.pdf,M.2903-DEC37905-ATT18,Schiedsgericht* | Schiedsverfahren* | Schieds*,DE,"Überprüfung ihrer Geeignetheit für das Toll Collect System übernimmt. B.IV.4 gilt entsprechend. V. Schiedsgerichtsbarkeit 1. Die Parteien verpflichten sich, sich einem Schiedsgerichtsverfahren zu unt",2026-06-05T15:30:33.017610,,,18,DE,DDOC,Art. 8(2) with conditions & obligations -  - mtf-dec-m-02903-020-2-20030430-0600-pub-de,,,2003-05-21,de,METADATA_DECISION_ATTACHMENT,,,,,,,,,,,,,,,Antitrust,DAIMLER CHRYSLER / DEUTSCHE TELEKOM / JV,,,,,,,2002-11-11,Merger,,2003-04-30,,,2002-11-11,M.2903,2903,,,,,,,Council Regulation 4064/89,,,"{""code"":""NaceSectorsJ_61"",""label"":""J.61 - Telecommunications""}",Normal procedure,false,,,DAIMLER CHRYSLER / DEUTSCHE TELEKOM / JV,,en,M.2903,METADATA_CASE,2003-04-30,32003D0792,,37905,"{""items"":[{""reference"":""L300"",""publishedDate"":""2003-11-18"",""priorPublication"":""false""}]}",2003-11-18,false,"{""items"":[{""reference"":""IP/03/594""}]}",,"{""code"":""DecisionType600"",""label"":""Art. 8(2) with conditions & obligations""}",en,M.2903-DEC37905,METADATA_DECISION
8,217,https://ec.europa.eu/competition/mergers/cases/decisions/m1601_fi.pdf,M.1601-DEC39876-ATT14,välitysm* | välitysmenettely*,FI,"liittyvien sitoumusten noudattamisen varmistamiseksi nimetään riippumaton asiantuntija ja laaditaan välitysmenettely. 129. Komissio on suorittanut toisen markkinatutkimuksen, jolla se on halunnut varm",2026-06-05T15:30:58.359487,,,14,FI,DDOC,Art. 8(2) with conditions & obligations -  - mtf-dec-m-01601-020-2-19991201-0600-pub-fi,,,2004-12-07,fi,METADATA_DECISION_ATTACHMENT,,,,,,,,,,,,,,,Antitrust,ALLIED SIGNAL / HONEYWELL,,,,,,,1999-07-15,Merger,,1999-12-01,,,1999-07-15,M.1601,1601,,,,,,,Council Regulation 4064/89,,,"{""code"":""NaceSectorsC_30_3"",""label"":""C.30.3 - Manufacture of air and spacecraft and related machinery""}",Normal procedure,false,,,ALLIED SIGNAL / HONEYWELL,,en,M.1601,METADATA_CASE,1999-12-01,32001D0417,,39876,"{""items"":[{""reference"":""L152"",""publishedDate"":""2001-06-07"",""priorPublication"":""false""}]}",2001-06-07,false,"{""items"":[{""reference"":""IP/99/921""}]}",,"{""code"":""DecisionType600"",""label"":""Art. 8(2) with conditions & obligations""}",en,M.1601-DEC39876,METADATA_DECISION
9,219,https://ec.europa.eu/competition/mergers/cases/decisions/m1601_el.pdf,M.1601-DEC39876-ATT16,διαιτη*,EL,"δέσµευσης σχετικά µε το TAWS, θα διοριστεί ανεξάρτητος εµπειρογνώµονας και θα θεσπιστεί διαδικασία διαιτησίας. (129) Η Επιτροπή πραγµατοποίησε έρευνα στην αγορά προκειµένου να εξακριβώσει αν οι προτε",2026-06-05T15:31:04.862847,,,16,EL,DDOC,Art. 8(2) with conditions & obligations -  - mtf-dec-m-01601-020-2-19991201-0600-pub-el,,,2004-12-07,el,METADATA_DECISION_ATTACHMENT,,,,,,,,,,,,,,,Antitrust,ALLIED SIGNAL / HONEYWELL,,,,,,,1999-07-15,Merger,,1999-12-01,,,1999-07-15,M.1601,1601,,,,,,,Council Regulation 4064/89,,,"{""code"":""NaceSectorsC_30_3"",""label"":""C.30.3 - Manufacture of air and spacecraft and related machinery""}",Normal procedure,false,,,ALLIED SIGNAL / HONEYWELL,,en,M.1601,METADATA_CASE,1999-12-01,32001D0417,,39876,"{""items"":[{""reference"":""L152"",""publishedDate"":""2001-06-07"",""priorPublication"":""false""}]}",2001-06-07,false,"{""items"":[{""reference"":""IP/99/921""}]}",,"{""code"":""DecisionType600"",""label"":""Art. 8(2) with conditions & obligations""}",en,M.1601-DEC39876,METADATA_DECISION
10,220,https://ec.europa.eu/competition/mergers/cases/decisions/m1601_sv.pdf,M.1601-DEC39876-ATT18,skiljeförfar*,SV,säkerställa att det åtagande som gäller TAWS fullgörs kommer en oberoende expert att utses och ett skiljeförfarande att inledas. 129. Kommissionen utförde ett marknadstest för att bekräfta att de för,2026-06-05T15:31:06.718690,,,18,SV,DDOC,Art. 8(2) with conditions & obligations -  - mtf-dec-m-01601-020-2-19991201-0600-pub-sv,,,2004-12-07,sv,METADATA_DECISION_ATTACHMENT,,,,,,,,,,,,,,,Antitrust,ALLIED SIGNAL / HONEYWELL,,,,,,,1999-07-15,Merger,,1999-12-01,,,1999-07-15,M.1601,1601,,,,,,,Council Regulation 4064/89,,,"{""code"":""NaceSectorsC_30_3"",""label"":""C.30.3 - Manufacture of air and spacecraft and related machinery""}",Normal procedure,false,,,ALLIED SIGNAL / HONEYWELL,,en,M.1601,METADATA_CASE,1999-12-01,32001D0417,,39876,"{""items"":[{""reference"":""L152"",""publishedDate"":""2001-06-07"",""priorPublication"":""false""}]}",2001-06-07,false,"{""items"":[{""reference"":""IP/99/921""}]}",,"{""code"":""DecisionType600"",""label"":""Art. 8(2) with conditions & obligations""}",en,M.1601-DEC39876,METADATA_DECISION
