decision_key,case_number,decision_number,decision_adoption_date,has_keyword_hit,attachment_count,hit_attachment_count,decision_type_code,decision_type_label,sector_code,sector_label,case_title,case_companies,case_regulation,case_simplified_procedure
M.18|37974,M.18,37974,1990-11-21,false,1,0,DecisionType310,Art. 6(1)(b),NaceSectorsK_65,"K.65 - Insurance, reinsurance and pension funding, except compulsory social security",AG / AMEV,AG / AMEV,Council Regulation 4064/89,Normal procedure
M.23|37979,M.23,37979,1990-11-28,false,1,0,DecisionType310,Art. 6(1)(b),NaceSectorsC_20_1,"C.20.1 - Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms",I.C.I. / TIOXIDE,I.C.I. / TIOXIDE,Council Regulation 4064/89,Normal procedure
M.27|37983,M.27,37983,1990-12-17,false,1,0,DecisionType310,Art. 6(1)(b),NaceSectorsG_47_1_1,"G.47.11 - Retail sale in non-specialised stores with food, beverages or tobacco predominating",PROMODES / DIRSA,PROMODES / DIRSA,Council Regulation 4064/89,Normal procedure
M.26|37982,M.26,37982,1990-12-20,false,1,0,DecisionType310,Art. 6(1)(b),NaceSectorsC_20_2_0,C.20.20 - Manufacture of pesticides and other agrochemical products,CARGILL / UNILEVER,CARGILL / UNILEVER,Council Regulation 4064/89,Normal procedure
M.24|37980,M.24,37980,1991-01-04,false,1,0,DecisionType310,Art. 6(1)(b),NaceSectorsC_27_2_0,C.27.20 - Manufacture of batteries and accumulators,MITSUBISHI / UCAR CARBON,MITSUBISHI / UCAR CARBON,Council Regulation 4064/89,Normal procedure
M.37|37993,M.37,37993,1991-01-10,false,1,0,DecisionType310,Art. 6(1)(b),NaceSectorsJ_59_1,"J.59.1 - Motion picture, video and television programme activities",MATSUSHITA / MCA,MATSUSHITA / MCA,Council Regulation 4064/89,Normal procedure
M.50|38008,M.50,38008,1991-01-18,false,1,0,DecisionType310,Art. 6(1)(b),NaceSectorsC_33_2_0,C.33.20 - Installation of industrial machinery and equipment,AT&T / NCR,AT&T / NCR,Council Regulation 4064/89,Normal procedure
M.21|37977,M.21,37977,1991-02-04,false,1,0,DecisionType310,Art. 6(1)(b),NaceSectorsK_64_1,K.64.1 - Monetary intermediation,BNP / DRESDNER BANK (OKHB),BNP / DRESDNER BANK (OKHB),Council Regulation 4064/89,Normal procedure
M.9|37962,M.9,37962,1991-02-08,false,1,0,DecisionType440,Art. 6(1)(b) with conditions & obligations,NaceSectorsC_28_3_0,C.28.30 - Manufacture of agricultural and forestry machinery,FIAT GEOTECH / FORD NEW HOLLAND,FIAT GEOTECH / FORD NEW HOLLAND,Council Regulation 4064/89,Normal procedure
M.65|38024,M.65,38024,1991-02-21,false,1,0,DecisionType310,Art. 6(1)(b),NaceSectorsN_78_1_0,N.78.10 - Activities of employment placement agencies,ASKO / OMNI,ASKO / OMNI,Council Regulation 4064/89,Normal procedure
M.57|38016,M.57,38016,1991-02-22,false,1,0,DecisionType310,Art. 6(1)(b),NaceSectorsC_33_2_0,C.33.20 - Installation of industrial machinery and equipment,DIGITAL / KIENZLE,DIGITAL / KIENZLE,Council Regulation 4064/89,Normal procedure
M.17|37973,M.17,37973,1991-02-25,false,1,0,DecisionType310,Art. 6(1)(b),NaceSectorsC_30_3,C.30.3 - Manufacture of air and spacecraft and related machinery,MBB / AEROSPATIALE,MBB / AEROSPATIALE,Council Regulation 4064/89,Normal procedure
M.69|38030,M.69,38030,1991-03-07,false,1,0,DecisionType310,Art. 6(1)(b),NaceSectorsK_64_1,K.64.1 - Monetary intermediation,KYOWA / SAITAMA,KYOWA / SAITAMA,Council Regulation 4064/89,Normal procedure
M.70|38031,M.70,38031,1991-03-21,false,1,0,DecisionType310,Art. 6(1)(b),NaceSectorsG_47_9,"G.47.9 - Retail trade not in stores, stalls or markets",OTTO / GRATTAN,OTTO / GRATTAN,Council Regulation 4064/89,Normal procedure
M.42|37998,M.42,37998,1991-04-12,false,1,0,DecisionType600,Art. 8(2) with conditions & obligations,NaceSectorsC_33_2_0,C.33.20 - Installation of industrial machinery and equipment,ALCATEL / TELETTRA,ALCATEL / TELETTRA,Council Regulation 4064/89,Normal procedure
M.80|38041,M.80,38041,1991-04-25,false,1,0,DecisionType310,Art. 6(1)(b),NaceSectorsG_47_9,"G.47.9 - Retail trade not in stores, stalls or markets",REDOUTE / EMPIRE STORES,REDOUTE / EMPIRE STORES,Council Regulation 4064/89,Normal procedure
M.63|38022,M.63,38022,1991-04-29,false,1,0,DecisionType310,Art. 6(1)(b),NaceSectorsC_19_2_0,C.19.20 - Manufacture of refined petroleum products,ELF / ERTOIL,ELF / ERTOIL,Council Regulation 4064/89,Normal procedure
M.73|38034,M.73,38034,1991-04-29,false,1,0,DecisionType310,Art. 6(1)(b),NaceSectorsC_24_1_0,C.24.10 - Manufacture of basic iron and steel and of ferro-alloys,USINOR / ASD,USINOR / ASD,Council Regulation 4064/89,Normal procedure
M.82|38043,M.82,38043,1991-05-16,false,1,0,DecisionType310,Art. 6(1)(b),NaceSectorsN_78_1_0,N.78.10 - Activities of employment placement agencies,ASKO / JAKOBS / ADIA,ASKO / JAKOBS / ADIA,Council Regulation 4064/89,Normal procedure
M.43|38001,M.43,38001,1991-05-29,false,1,0,DecisionType600,Art. 8(2) with conditions & obligations,NaceSectorsC_27_2_0,C.27.20 - Manufacture of batteries and accumulators,CEAC / MAGNETI MARELLI,CEAC / MAGNETI MARELLI,Council Regulation 4064/89,Normal procedure
M.10|37964,M.10,37964,1991-05-30,false,1,0,DecisionType310,Art. 6(1)(b),NaceSectorsC_10_1_1,C.10.11 - Processing and preserving of meat,CONAGRA / IDEA,CONAGRA / IDEA,Council Regulation 4064/89,Normal procedure
M.92|38053,M.92,38053,1991-06-03,false,1,0,DecisionType310,Art. 6(1)(b),NaceSectorsC_33_2_0,C.33.20 - Installation of industrial machinery and equipment,RVI / VBC / HEULIEZ,RVI / VBC / HEULIEZ,Council Regulation 4064/89,Normal procedure
M.81|38042,M.81,38042,1991-06-06,false,1,0,DecisionType310,Art. 6(1)(b),NaceSectorsC_25_9_2,C.25.92 - Manufacture of light metal packaging,VIAG / CCE,VIAG / CCE,Council Regulation 4064/89,Normal procedure
M.72|38033,M.72,38033,1991-06-10,false,1,0,DecisionType310,Art. 6(1)(b),NaceSectorsC_21_2_0,C.21.20 - Manufacture of pharmaceutical preparations,SANOFI / STERLING DRUGS,SANOFI / STERLING DRUGS,Council Regulation 4064/89,Normal procedure
M.85|38046,M.85,38046,1991-06-13,false,1,0,DecisionType310,Art. 6(1)(b),NaceSectorsB_6,B.06 - Extraction of crude petroleum and natural gas,ELF / OCCIDENTAL,ELF / OCCIDENTAL,Council Regulation 4064/89,Normal procedure
M.98|38058,M.98,38058,1991-06-18,false,1,0,DecisionType310,Art. 6(1)(b),NaceSectorsC_19_2_0,C.19.20 - Manufacture of refined petroleum products,ELF / BC / CEPSA,ELF / BC / CEPSA,Council Regulation 4064/89,Normal procedure
M.97|38057,M.97,38057,1991-06-24,false,1,0,DecisionType310,Art. 6(1)(b),NaceSectorsC_24_1_0,C.24.10 - Manufacture of basic iron and steel and of ferro-alloys,PECHINEY / USINOR,PECHINEY / USINOR,Council Regulation 4064/89,Normal procedure
M.101|38061,M.101,38061,1991-06-28,false,1,0,DecisionType310,Art. 6(1)(b),NaceSectorsJ_62_0,"J.62.0 - Computer programming, consultancy and related activities",DRAEGER / IBM / HMP,DRAEGER / IBM / HMP,Council Regulation 4064/89,Normal procedure
M.99|38059,M.99,38059,1991-06-28,false,1,0,DecisionType310,Art. 6(1)(b),NaceSectorsC_33_2_0,C.33.20 - Installation of industrial machinery and equipment,NISSAN / RICHARD NISSAN,NISSAN / RICHARD NISSAN,Council Regulation 4064/89,Normal procedure
M.76|38037,M.76,38037,1991-07-11,false,1,0,DecisionType310,Art. 6(1)(b),NaceSectorsE_36_0_0,"E.36.00 - Water collection, treatment and supply",LYONNAISE DES EAUX / BROCHIER,LYONNAISE DES EAUX / BROCHIER,Council Regulation 4064/89,Normal procedure
M.105|38066,M.105,38066,1991-07-17,false,1,0,DecisionType310,Art. 6(1)(b),NaceSectorsJ_62_0,"J.62.0 - Computer programming, consultancy and related activities",ICL / NOKIA DATA,ICL / NOKIA DATA,Council Regulation 4064/89,Normal procedure
M.112|38073,M.112,38073,1991-07-17,false,1,0,DecisionType310,Art. 6(1)(b),NaceSectorsJ_62_0,"J.62.0 - Computer programming, consultancy and related activities",EDS / SD - SCICON,EDS / SD - SCICON,Council Regulation 4064/89,Normal procedure
M.111|38072,M.111,38072,1991-07-29,false,1,0,DecisionType310,Art. 6(1)(b),NaceSectorsC_19_2_0,C.19.20 - Manufacture of refined petroleum products,BP / PETROMED,BP / PETROMED,Council Regulation 4064/89,Normal procedure
M.62|38021,M.62,38021,1991-07-30,false,1,0,DecisionType310,Art. 6(1)(b),NaceSectorsC_10_8_1,C.10.81 - Manufacture of sugar,ERIDANIA / ISI,ERIDANIA / ISI,Council Regulation 4064/89,Normal procedure
M.12|37967,M.12,37967,1991-07-31,false,1,0,DecisionType600,Art. 8(2) with conditions & obligations,NaceSectorsC_27_2_0,C.27.20 - Manufacture of batteries and accumulators,VARTA / BOSCH,VARTA / BOSCH,Council Regulation 4064/89,Normal procedure
M.116|38078,M.116,38078,1991-08-20,false,1,0,DecisionType310,Art. 6(1)(b),NaceSectorsB_6_1,B.06.1 - Extraction of crude petroleum,KELT / AMERICAN EXPRESS,KELT / AMERICAN EXPRESS,Council Regulation 4064/89,Normal procedure
M.124|38087,M.124,38087,1991-08-26,false,1,0,DecisionType310,Art. 6(1)(b),NaceSectorsK_64_1,K.64.1 - Monetary intermediation,BNP / DRESDNER BANK (CS),BNP / DRESDNER BANK (CS),Council Regulation 4064/89,Normal procedure
M.129|38095,M.129,38095,1991-09-02,false,1,0,DecisionType310,Art. 6(1)(b),NaceSectorsJ_62_0,"J.62.0 - Computer programming, consultancy and related activities",DIGITAL / PHILIPS,DIGITAL / PHILIPS,Council Regulation 4064/89,Normal procedure
M.110|38071,M.110,38071,1991-09-10,false,1,0,DecisionType310,Art. 6(1)(b),NaceSectorsJ_60_2,J.60.2 - Television programming and broadcasting activities,ABC / GENERALE DES EAUX / CANAL+ / W.H. SMITH,ABC / GENERALE DES EAUX / CANAL+ / W.H. SMITH,Council Regulation 4064/89,Normal procedure
M.130|38096,M.130,38096,1991-09-13,false,1,0,DecisionType310,Art. 6(1)(b),NaceSectorsH_51,H.51 - Air transport,DELTA AIRLINES / PAN AM,DELTA AIRLINES / PAN AM,Council Regulation 4064/89,Normal procedure
M.134|38100,M.134,38100,1991-09-23,false,1,0,DecisionType310,Art. 6(1)(b),NaceSectorsC_29_3_2,C.29.32 - Manufacture of other parts and accessories for motor vehicles,MANNESMANN / BOGE,MANNESMANN / BOGE,Council Regulation 4064/89,Normal procedure
